run,type,slice,n,cos,nmse
parabola_s42_af_fr_zs_a025,分区,r/m-OOD,319,0.8067,0.3673
parabola_s42_af_fr_zs_a025,分区,v-OOD,928,0.5612,1.0739
parabola_s42_af_fr_zs_a025,分区,both-OOD,1189,0.5747,1.1179
parabola_s42_af_fr_zs_a025,步长,h=1,100,0.9835,0.0337
parabola_s42_af_fr_zs_a025,步长,h=2,100,0.9686,0.0669
parabola_s42_af_fr_zs_a025,步长,h=4,100,0.9286,0.1634
parabola_s42_af_fr_zs_a025,步长,h=8,100,0.82,0.4425
parabola_s42_af_fr_zs_a025,步长,h=16,100,0.4891,1.2194
parabola_s42_af_fr_zs_a025,步长,h=28,100,0.7609,5012359.5
parabola_s42_af_fr_zs_a050,分区,ID,464,0.7529,0.4374
parabola_s42_af_fr_zs_a050,分区,r/m-OOD,319,0.7463,0.5805
parabola_s42_af_fr_zs_a050,分区,v-OOD,928,0.4956,1.271
parabola_s42_af_fr_zs_a050,分区,both-OOD,1189,0.5222,1.3237
parabola_s42_af_fr_zs_a050,步长,h=1,100,0.9812,0.0389
parabola_s42_af_fr_zs_a050,步长,h=2,100,0.9645,0.0764
parabola_s42_af_fr_zs_a050,步长,h=4,100,0.915,0.1946
parabola_s42_af_fr_zs_a050,步长,h=8,100,0.7707,0.5782
parabola_s42_af_fr_zs_a050,步长,h=16,100,0.419,1.4934
parabola_s42_af_fr_zs_a050,步长,h=28,100,0.6738,9119434.0
parabola_s42_af_fr_zs_a100,分区,ID,464,0.4309,1.6581
parabola_s42_af_fr_zs_a100,分区,r/m-OOD,319,0.4617,1.8724
parabola_s42_af_fr_zs_a100,分区,v-OOD,928,0.2429,2.9312
parabola_s42_af_fr_zs_a100,分区,both-OOD,1189,0.34,4.4031
parabola_s42_af_fr_zs_a100,步长,h=1,100,0.9716,0.0603
parabola_s42_af_fr_zs_a100,步长,h=2,100,0.9406,0.1367
parabola_s42_af_fr_zs_a100,步长,h=4,100,0.8182,0.4745
parabola_s42_af_fr_zs_a100,步长,h=8,100,0.4503,1.6118
parabola_s42_af_fr_zs_a100,步长,h=16,100,0.1445,3.0365
