Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
Flax classes are deprecated and will be removed in Diffusers v1.0.0. We recommend migrating to PyTorch classes or pinning your version of Diffusers.
[load] DiT-XL from /home/qlib/.stable_worldmodel/dit_xl_2_256
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
An error occurred while trying to fetch /home/qlib/.stable_worldmodel/dit_xl_2_256: Error no file named diffusion_pytorch_model.safetensors found in directory /home/qlib/.stable_worldmodel/dit_xl_2_256.
Defaulting to unsafe serialization. Pass `allow_pickle=False` to raise an error instead.
  transformer has 28 blocks; applying LoRA to last 4
  LoRA params: 0.590 M trainable / 750.4 M total (0.079%)
  using 32000 training frames, 2000 steps / epoch
  ep 4 step 0/2000 (global 8001/16000) loss=0.5244 elapsed=2071s eta=2071s
  ep 4 step 49/2000 (global 8050/16000) loss=0.4648 elapsed=2084s eta=2058s
  ep 4 step 99/2000 (global 8100/16000) loss=0.5318 elapsed=2098s eta=2046s
  ep 4 step 149/2000 (global 8150/16000) loss=0.3667 elapsed=2111s eta=2033s
  ep 4 step 199/2000 (global 8200/16000) loss=0.4534 elapsed=2124s eta=2021s
  ep 4 step 249/2000 (global 8250/16000) loss=0.4159 elapsed=2137s eta=2008s
  ep 4 step 299/2000 (global 8300/16000) loss=0.3864 elapsed=2151s eta=1995s
  ep 4 step 349/2000 (global 8350/16000) loss=0.4465 elapsed=2164s eta=1982s
  ep 4 step 399/2000 (global 8400/16000) loss=0.4023 elapsed=2177s eta=1970s
  ep 4 step 449/2000 (global 8450/16000) loss=0.3869 elapsed=2190s eta=1957s
  ep 4 step 499/2000 (global 8500/16000) loss=0.3849 elapsed=2203s eta=1944s
  ep 4 step 549/2000 (global 8550/16000) loss=0.4958 elapsed=2216s eta=1931s
  ep 4 step 599/2000 (global 8600/16000) loss=0.4868 elapsed=2229s eta=1918s
  ep 4 step 649/2000 (global 8650/16000) loss=0.5153 elapsed=2242s eta=1905s
  ep 4 step 699/2000 (global 8700/16000) loss=0.5063 elapsed=2255s eta=1892s
